ds,hierarchy_2_code,item_id,y
2021-11-14,82,1138428,5.0
2021-11-14,101,3906,1.0
2021-11-14,54,945593,7.0
2021-11-14,82,1078620,0.0
2021-11-14,43,17269,0.0
2021-11-14,15,971991,0.0
2021-11-14,72,977410,9.0
2021-11-14,71,440500,29.0
2021-11-14,61,494937,1.0
2021-11-14,15,1394,25.307
2021-11-14,15,376635,20.0
2021-11-15,60,937937,14.0
2021-11-15,82,955764,1.0
2021-11-15,101,3935,2.0
2021-11-15,15,1403,105.0
2021-11-15,82,1138428,0.0
2021-11-15,101,3906,0.0
2021-11-15,54,945593,7.0
2021-11-15,82,1078620,1.0
2021-11-15,43,17269,4.0
2021-11-15,15,971991,0.0
2021-11-15,72,977410,8.0
2021-11-15,71,440500,27.0
2021-11-15,61,494937,7.0
2021-11-15,15,1394,18.32
2021-11-15,15,376635,10.0
2021-11-16,60,937937,17.0
2021-11-16,82,955764,0.0
2021-11-16,101,3935,1.0
2021-11-16,15,1403,120.0
2021-11-16,82,1138428,1.0
2021-11-16,101,3906,0.0
2021-11-16,54,945593,3.0
2021-11-16,82,1078620,0.0
2021-11-16,43,17269,1.0
2021-11-16,15,971991,0.0
2021-11-16,72,977410,17.0
2021-11-16,71,440500,43.0
2021-11-16,61,494937,4.0
2021-11-16,15,1394,17.225
2021-11-16,15,376635,11.0
2021-11-17,60,937937,16.0
2021-11-17,82,955764,4.0
2021-11-17,101,3935,3.0
2021-11-17,15,1403,92.0
2021-11-17,82,1138428,3.0
2021-11-17,101,3906,9.0
2021-11-17,54,945593,6.0
2021-11-17,82,1078620,1.0
2021-11-17,43,17269,3.0
2021-11-17,15,971991,0.0
2021-11-17,72,977410,3.0
2021-11-17,71,440500,17.0
2021-11-17,61,494937,5.0
2021-11-17,15,1394,13.204999999999998
2021-11-17,15,376635,5.0
2021-11-18,60,937937,15.0
2021-11-18,82,955764,0.0
2021-11-18,101,3935,1.0
2021-11-18,15,1403,72.0
2021-11-18,82,1138428,1.0
2021-11-18,101,3906,2.0
2021-11-18,54,945593,5.0
2021-11-18,82,1078620,0.0
2021-11-18,43,17269,1.0
2021-11-18,15,971991,0.0
2021-11-18,72,977410,14.0
2021-11-18,71,440500,29.0
2021-11-18,61,494937,3.0
2021-11-18,15,1394,10.145
2021-11-18,15,376635,12.0
2021-11-19,60,937937,11.0
2021-11-19,82,955764,0.0
2021-11-19,101,3935,0.0
2021-11-19,15,1403,82.0
2021-11-19,82,1138428,2.0
2021-11-19,101,3906,0.0
2021-11-19,54,945593,2.0
2021-11-19,82,1078620,1.0
2021-11-19,43,17269,4.0
2021-11-19,15,971991,0.0
2021-11-19,72,977410,10.0
2021-11-19,71,440500,46.0
2021-11-19,61,494937,4.0
2021-11-19,15,1394,16.28
2021-11-19,15,376635,12.0
2021-11-20,60,937937,19.0
2021-11-20,82,955764,1.0
2021-11-20,101,3935,0.0
2021-11-20,15,1403,145.0
2021-11-20,82,1138428,3.0
2021-11-20,101,3906,2.0
2021-11-20,54,945593,0.0
2021-11-20,82,1078620,0.0
2021-11-20,43,17269,2.0
2021-11-20,15,971991,0.0
2021-11-20,72,977410,16.0
2021-11-20,71,440500,39.0
2021-11-20,61,494937,8.0
2021-11-20,15,1394,16.9
2021-11-20,15,376635,21.0
2021-11-21,60,937937,15.0
2021-11-21,82,955764,3.0
2021-11-21,101,3935,0.0
2021-11-21,15,1403,141.0
2021-11-21,82,1138428,0.0
2021-11-21,101,3906,1.0
2021-11-21,54,945593,8.0
2021-11-21,82,1078620,1.0
2021-11-21,43,17269,3.0
2021-11-21,15,971991,0.0
2021-11-21,72,977410,9.0
2021-11-21,71,440500,23.0
2021-11-21,61,494937,3.0
2021-11-21,15,1394,15.985
2021-11-21,15,376635,18.0
2021-11-22,60,937937,11.0
2021-11-22,82,955764,0.0
2021-11-22,101,3935,0.0
2021-11-22,15,1403,85.0
2021-11-22,82,1138428,2.0
2021-11-22,101,3906,0.0
2021-11-22,54,945593,1.0
2021-11-22,82,1078620,0.0
2021-11-22,43,17269,2.0
2021-11-22,15,971991,0.0
2021-11-22,72,977410,8.0
2021-11-22,71,440500,28.0
2021-11-22,61,494937,7.0
2021-11-22,15,1394,12.670000000000002
2021-11-22,15,376635,9.0
2021-11-23,60,937937,13.0
2021-11-23,82,955764,7.0
2021-11-23,101,3935,1.0
2021-11-23,15,1403,70.0
2021-11-23,82,1138428,0.0
2021-11-23,101,3906,1.0
2021-11-23,54,945593,6.0
2021-11-23,82,1078620,0.0
2021-11-23,43,17269,3.0
2021-11-23,15,971991,0.0
2021-11-23,72,977410,8.0
2021-11-23,71,440500,24.0
2021-11-23,61,494937,3.0
2021-11-23,15,1394,15.804
2021-11-23,15,376635,7.0
2021-11-24,60,937937,22.0
2021-11-24,82,955764,2.0
2021-11-24,101,3935,1.0
2021-11-24,15,1403,50.0
2021-11-24,82,1138428,0.0
2021-11-24,101,3906,0.0
2021-11-24,54,945593,0.0
2021-11-24,82,1078620,1.0
2021-11-24,43,17269,1.0
2021-11-24,15,971991,0.0
2021-11-24,72,977410,34.0
2021-11-24,71,440500,24.0
2021-11-24,61,494937,1.0
2021-11-24,15,1394,16.085
2021-11-24,15,376635,13.0
2021-11-25,60,937937,7.0
